sep=,
DeviceTag:,3
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-09-17_16:36:35_000 GMT+8
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
35,3224304585,-0.050164,-0.773073,-0.001582,-0.632329,9.68168926239014,0.79803681373596,-1.92926812171936,0.98012757301331,0.21809853613377,0.22986756265163
36,3224321252,-0.050068,-0.773060,-0.001655,-0.632352,9.70500564575195,0.79378736019135,-1.95470392704010,0.79762434959412,0.28383356332779,0.25677374005318
37,3224337919,-0.049991,-0.773055,-0.001695,-0.632364,9.67137336730957,0.77144157886505,-1.93635535240173,0.49465811252594,0.18149158358574,0.36113908886909
38,3224354586,-0.049930,-0.773059,-0.001712,-0.632365,9.69523811340332,0.76484704017639,-1.91476559638977,0.54789406061172,0.08667337894440,0.36450707912445
39,3224371253,-0.049859,-0.773079,-0.001733,-0.632345,9.70685577392578,0.80221116542816,-1.89874410629272,0.20006078481674,-0.12287051230669,0.45855692028999
40,3224387920,-0.049789,-0.773099,-0.001770,-0.632326,9.68425178527832,0.76379185914993,-1.90959072113037,0.35048422217369,-0.11198512464762,0.35453099012375
41,3224404587,-0.049645,-0.773118,-0.001870,-0.632314,9.71652984619141,0.79334235191345,-1.95951890945435,0.64917308092117,-0.07217658311129,0.41716042160988
42,3224421254,-0.049619,-0.773132,-0.001849,-0.632299,9.68799400329590,0.80388480424881,-1.96181082725525,-0.09105314314365,-0.07752963155508,0.46359625458717
43,3224437921,-0.049632,-0.773141,-0.001797,-0.632287,9.73055648803711,0.74732363224030,-1.93606209754944,-0.33518698811531,-0.04449566453695,0.44034636020660
44,3224454588,-0.049600,-0.773167,-0.001792,-0.632258,9.68453216552734,0.72491157054901,-1.89375567436218,-0.04997678473592,-0.20151433348656,0.40790790319443
45,3224471255,-0.049572,-0.773202,-0.001821,-0.632218,9.70967197418213,0.73747819662094,-1.88584828376770,0.05114215612411,-0.29103708267212,0.22159466147423
46,3224487922,-0.049592,-0.773236,-0.001817,-0.632174,9.63383674621582,0.75728380680084,-1.93412375450134,-0.23240962624550,-0.31048995256424,0.15269650518894
47,3224504589,-0.049613,-0.773275,-0.001803,-0.632124,9.65278434753418,0.79363906383514,-1.97051167488098,-0.28100338578224,-0.36880370974541,0.21245735883713
48,3224521256,-0.049619,-0.773310,-0.001797,-0.632082,9.71811103820801,0.84966707229614,-1.99165046215057,-0.46712443232536,-0.33160763978958,0.28814926743507
49,3224537923,-0.049611,-0.773336,-0.001780,-0.632051,9.72781658172607,0.79687196016312,-1.94954085350037,-0.23135951161385,-0.21782319247723,0.37067338824272
50,3224554590,-0.049554,-0.773361,-0.001821,-0.632024,9.66689586639404,0.76608794927597,-1.92659938335419,0.30774939060211,-0.16952404379845,0.27669396996498
51,3224571257,-0.049443,-0.773396,-0.001892,-0.631990,9.68840599060059,0.76988345384598,-1.96567642688751,0.73077511787415,-0.23536789417267,0.34064248204231
52,3224587924,-0.049412,-0.773417,-0.001908,-0.631967,9.68172645568848,0.78522098064423,-2.00055193901062,0.24141888320446,-0.12931850552559,0.25555709004402
53,3224604591,-0.049420,-0.773436,-0.001871,-0.631943,9.65209388732910,0.76617020368576,-1.97696673870087,-0.27102077007294,-0.14580029249191,0.39008778333664
54,3224621258,-0.049392,-0.773455,-0.001869,-0.631922,9.68118286132812,0.77089440822601,-1.98067164421082,0.11936157196760,-0.11771597713232,0.34270435571671
55,3224637925,-0.049346,-0.773471,-0.001898,-0.631905,9.69182586669922,0.79662877321243,-1.96810126304626,-0.08573210239410,-0.10545386373997,0.35043293237686
56,3224654592,-0.049346,-0.773471,-0.001869,-0.631906,9.71117973327637,0.78770613670349,-1.98311781883240,-0.27203884720802,0.06514589488506,0.39671513438225
57,3224671259,-0.049370,-0.773458,-0.001841,-0.631920,9.72583580017090,0.76548719406128,-1.95332443714142,-0.50838005542755,0.18103055655956,0.31736695766449
58,3224687926,-0.049383,-0.773455,-0.001795,-0.631923,9.68498897552490,0.78584641218185,-1.95143651962280,-0.27367168664932,0.09855125844479,0.40261241793633
59,3224704593,-0.049404,-0.773447,-0.001735,-0.631931,9.69306373596191,0.77522855997086,-1.93911647796631,-0.23134672641754,0.15186412632465,0.41367712616920
60,3224721260,-0.049385,-0.773437,-0.001738,-0.631945,9.67417621612549,0.77406626939774,-1.94173038005829,-0.03647248446941,0.18472519516945,0.32206046581268
61,3224737927,-0.049399,-0.773432,-0.001707,-0.631949,9.66111183166504,0.77118736505508,-1.92075252532959,-0.18574330210686,0.11712046712637,0.31249415874481
62,3224754594,-0.049412,-0.773445,-0.001694,-0.631933,9.67015361785889,0.75808084011078,-1.88540148735046,-0.23714798688889,-0.07019159942865,0.24619565904140
63,3224771261,-0.049460,-0.773465,-0.001663,-0.631904,9.77390289306641,0.73655921220779,-1.90454137325287,-0.54893136024475,-0.18770265579224,0.19842796027660
64,3224787928,-0.049468,-0.773494,-0.001683,-0.631869,9.68003940582275,0.72825509309769,-1.93653070926666,-0.05091805011034,-0.22852933406830,0.07880387455225
65,3224804595,-0.049445,-0.773515,-0.001733,-0.631844,9.69981098175049,0.77673792839050,-1.99138605594635,0.04645503684878,-0.15388110280037,0.10226511210203
66,3224821262,-0.049458,-0.773525,-0.001739,-0.631832,9.65550994873047,0.78851795196533,-1.99929690361023,-0.29213204979897,-0.04201123118401,0.17188683152199
67,3224837929,-0.049385,-0.773533,-0.001822,-0.631826,9.67006111145020,0.78751659393311,-1.98110795021057,0.34038636088371,0.01135282870382,0.17392943799496
68,3224854596,-0.049350,-0.773542,-0.001856,-0.631818,9.70048046112061,0.82148706912994,-1.92704999446869,0.02049656212330,-0.01526516769081,0.24789892137051
69,3224871263,-0.049329,-0.773570,-0.001868,-0.631786,9.69044494628906,0.78008884191513,-1.89651989936829,-0.09439560770988,-0.22496914863586,0.28578010201454
70,3224887930,-0.049330,-0.773589,-0.001847,-0.631763,9.71650886535645,0.75299191474915,-1.93389129638672,-0.31548440456390,-0.14941166341305,0.36205473542213
71,3224904597,-0.049370,-0.773610,-0.001797,-0.631734,9.69250869750977,0.76412105560303,-1.97025060653687,-0.52442002296448,-0.19227452576160,0.31874361634254
72,3224921264,-0.049424,-0.773626,-0.001713,-0.631710,9.67592620849609,0.78942847251892,-2.03324842453003,-0.82093828916550,-0.15297184884548,0.45557948946953
73,3224937931,-0.049546,-0.773623,-0.001563,-0.631705,9.64981842041016,0.82683396339417,-2.00699925422668,-1.66291105747223,-0.01729497686028,0.55091637372971
74,3224954598,-0.049662,-0.773625,-0.001423,-0.631694,9.67702770233154,0.74953329563141,-1.94443225860596,-1.32588624954224,-0.04021834209561,0.47051814198494
75,3224971265,-0.049708,-0.773637,-0.001359,-0.631676,9.70627021789551,0.76193046569824,-1.89392590522766,-0.74037986993790,-0.10681135207415,0.39826464653015
76,3224987932,-0.049684,-0.773659,-0.001355,-0.631650,9.69764041900635,0.75636070966721,-1.87063896656036,-0.11080052703619,-0.17405109107494,0.37774246931076
77,3225004599,-0.049674,-0.773697,-0.001334,-0.631605,9.68226623535156,0.78966236114502,-1.91840994358063,-0.29924595355988,-0.34821742773056,0.40884912014008
78,3225021266,-0.049670,-0.773725,-0.001345,-0.631570,9.72856807708740,0.74118328094482,-1.97866547107697,-0.48708945512772,-0.26861315965652,0.27839079499245
79,3225037933,-0.049649,-0.773748,-0.001346,-0.631544,9.73943805694580,0.71136486530304,-2.04845881462097,-0.07843887805939,-0.17339795827866,0.33137065172195
80,3225054600,-0.049586,-0.773754,-0.001390,-0.631541,9.72817039489746,0.74196285009384,-2.02384281158447,0.37768486142159,0.04140292853117,0.28757941722870
81,3225071267,-0.049580,-0.773752,-0.001381,-0.631544,9.65433883666992,0.80262935161591,-1.98759567737579,-0.24630452692509,0.08486127108335,0.34106510877609
82,3225087934,-0.049616,-0.773746,-0.001336,-0.631549,9.62830829620361,0.76551938056946,-1.94882917404175,-0.41601425409317,0.11517390608788,0.30456700921059
83,3225104601,-0.049583,-0.773744,-0.001394,-0.631554,9.69005584716797,0.75826323032379,-1.96820139884949,0.23945954442024,0.12684050202370,0.09006065875292
84,3225121268,-0.049456,-0.773735,-0.001545,-0.631575,9.72007656097412,0.76369649171829,-1.98621690273285,1.10762119293213,0.26733255386353,0.01088539604098
85,3225137935,-0.049424,-0.773718,-0.001622,-0.631597,9.71972370147705,0.76638835668564,-2.00514721870422,0.35492801666260,0.28207269310951,-0.01368358545005
86,3225154602,-0.049426,-0.773691,-0.001630,-0.631631,9.66827964782715,0.75483006238937,-1.98358273506165,-0.16377399861813,0.36889970302582,0.20625905692577
87,3225171269,-0.049487,-0.773680,-0.001571,-0.631639,9.68257808685303,0.74471300840378,-1.94653677940369,-0.48675653338432,0.16262142360210,0.24855205416679
88,3225187936,-0.049536,-0.773683,-0.001568,-0.631631,9.66504383087158,0.74185919761658,-1.83630013465881,-0.44815823435783,0.00756215024740,0.05155196785927
89,3225204603,-0.049546,-0.773715,-0.001601,-0.631592,9.66851234436035,0.76389932632446,-1.80408573150635,-0.07256718724966,-0.26814576983452,0.01561094075441
90,3225221270,-0.049591,-0.773765,-0.001626,-0.631527,9.74690628051758,0.77941650152206,-1.85679900646210,-0.47204205393791,-0.49972939491272,-0.05560517311096
