sep=,
DeviceTag:,6
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-09-17_16:36:35_000 GMT+8
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3223721240,-0.540367,-0.531668,-0.446658,-0.475215,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3223737907,-0.540416,-0.531821,-0.446596,-0.475048,0.24998620152473,9.88117790222168,0.31937196850777,0.82072693109512,-1.32244777679443,-0.35691297054291
2,3223754574,-0.540403,-0.531921,-0.446558,-0.474985,0.32020646333694,9.90002536773682,0.36257019639015,0.60791736841202,-0.53470993041992,-0.02285292930901
3,3223771241,-0.540415,-0.532059,-0.446480,-0.474891,0.35967254638672,9.92478370666504,0.33982291817665,0.61958402395248,-0.99034714698792,0.04478380829096
4,3223787908,-0.540450,-0.532225,-0.446345,-0.474792,0.36789011955261,9.90003776550293,0.34580555558205,0.47040286660194,-1.50444519519806,0.23990134894848
5,3223804575,-0.540488,-0.532439,-0.446182,-0.474662,0.31053805351257,9.85615825653076,0.28104656934738,0.63732081651688,-1.95634269714355,0.36541637778282
6,3223821242,-0.540576,-0.532543,-0.446032,-0.474586,0.29848617315292,9.82395172119141,0.26419618725777,-0.07195248454809,-1.22177064418793,0.01890217326581
7,3223837909,-0.540714,-0.532595,-0.445882,-0.474512,0.32876947522163,9.84063339233398,0.38566187024117,-0.45027765631676,-1.24821567535400,-0.28604903817177
8,3223854576,-0.540871,-0.532686,-0.445726,-0.474377,0.33571577072144,9.85572433471680,0.37277635931969,-0.21150325238705,-1.78215074539185,-0.44327256083488
9,3223871243,-0.541029,-0.532813,-0.445541,-0.474227,0.31643539667130,9.96366977691650,0.38692915439606,-0.13137392699718,-1.99842441082001,-0.28670212626457
10,3223887910,-0.541221,-0.533008,-0.445272,-0.474042,0.30601471662521,10.00817203521729,0.47412380576134,-0.17610649764538,-2.85687232017517,-0.00758776161820
11,3223904577,-0.541457,-0.533323,-0.444930,-0.473739,0.32467418909073,9.92577648162842,0.51745986938477,0.25041538476944,-3.68103837966919,0.05041860416532
12,3223921244,-0.541663,-0.533642,-0.444646,-0.473411,0.29499226808548,9.80661964416504,0.42482280731201,0.63064879179001,-3.96929669380188,-0.15270933508873
13,3223937911,-0.541855,-0.533942,-0.444367,-0.473115,0.28639543056488,9.78079795837402,0.38714510202408,0.52436876296997,-3.55621433258057,-0.06270629167557
14,3223954578,-0.542036,-0.534177,-0.444124,-0.472870,0.27627110481262,9.84891605377197,0.38459476828575,0.29230490326881,-3.17979741096497,-0.17463378608227
15,3223971245,-0.542171,-0.534387,-0.443959,-0.472633,0.25221598148346,9.88451004028320,0.29609087109566,0.59105151891708,-2.44722294807434,-0.35398671030998
16,3223987912,-0.542247,-0.534383,-0.443913,-0.472593,0.24477708339691,9.86451339721680,0.25717937946320,-0.20333284139633,-0.53976845741272,-0.51492410898209
17,3224004579,-0.542311,-0.534224,-0.443911,-0.472702,0.22860339283943,9.89474105834961,0.30558872222900,-1.03721833229065,1.17430400848389,-0.54564660787582
18,3224021246,-0.542322,-0.533975,-0.443965,-0.472920,0.23574474453926,9.92446994781494,0.36315509676933,-1.32805693149567,2.31958222389221,-0.44654464721680
19,3224037913,-0.542269,-0.533705,-0.444043,-0.473213,0.25729697942734,9.89451313018799,0.36247578263283,-1.33704054355621,2.48225498199463,-0.12513723969460
20,3224054580,-0.542255,-0.533416,-0.444082,-0.473517,0.27064281702042,9.85464382171631,0.39214652776718,-1.70106124877930,2.59843397140503,-0.11526355147362
21,3224071247,-0.542210,-0.533157,-0.444120,-0.473825,0.31034189462662,9.85171222686768,0.38895773887634,-1.49581372737885,2.36206722259521,0.08943954855204
22,3224087914,-0.542215,-0.532914,-0.444114,-0.474098,0.31203973293304,9.84935379028320,0.42438805103302,-1.65968370437622,1.74403285980225,0.00165201921482
23,3224104581,-0.542289,-0.532685,-0.444088,-0.474295,0.28839540481567,9.88293647766113,0.42202883958817,-1.68983006477356,1.17590475082397,-0.38987013697624
24,3224121248,-0.542387,-0.532474,-0.444053,-0.474453,0.25472500920296,9.88662910461426,0.40742167830467,-1.62222504615784,0.95878577232361,-0.52411907911301
25,3224137915,-0.542491,-0.532323,-0.444001,-0.474550,0.27662247419357,9.92501449584961,0.44303628802299,-1.29248738288879,0.32291209697723,-0.52782011032104
26,3224154582,-0.542579,-0.532215,-0.443968,-0.474602,0.30977082252502,9.90257358551025,0.44670701026917,-0.87119674682617,0.24825106561184,-0.57584393024445
27,3224171249,-0.542676,-0.532208,-0.443883,-0.474579,0.29586446285248,9.87756538391113,0.46285504102707,-0.47226613759995,-0.71178328990936,-0.39878332614899
28,3224187916,-0.542859,-0.532277,-0.443704,-0.474460,0.30552324652672,9.85334014892578,0.42111465334892,-0.50830328464508,-1.73858356475830,-0.44328537583351
29,3224204583,-0.543027,-0.532357,-0.443517,-0.474352,0.24170112609863,9.85530757904053,0.38466447591782,-0.47702366113663,-1.80376124382019,-0.30484232306480
30,3224221250,-0.543121,-0.532402,-0.443389,-0.474315,0.18993112444878,9.84070301055908,0.38160237669945,-0.35844337940216,-0.88350373506546,-0.11175461858511
31,3224237917,-0.543139,-0.532437,-0.443338,-0.474303,0.22358804941177,9.89565563201904,0.37749728560448,0.05337686091661,-0.41404846310616,-0.09000942856073
32,3224254584,-0.543119,-0.532472,-0.443308,-0.474315,0.26938140392303,9.91572093963623,0.39973056316376,0.18829175829887,-0.07186283916235,0.04482222348452
33,3224271251,-0.543069,-0.532527,-0.443288,-0.474329,0.25993663072586,9.92464351654053,0.36772352457047,0.39978864789009,-0.07386062294245,0.17905837297440
34,3224287918,-0.542960,-0.532528,-0.443334,-0.474408,0.24286739528179,9.89177131652832,0.37270516157150,0.42166185379028,0.43729835748672,0.18898329138756
35,3224304585,-0.542834,-0.532531,-0.443387,-0.474499,0.24221456050873,9.84295940399170,0.41326010227203,0.49109786748886,0.97385883331299,0.29038393497467
36,3224321252,-0.542659,-0.532537,-0.443480,-0.474607,0.30207526683807,9.88345718383789,0.39367005228996,0.76001852750778,1.48382055759430,0.38210305571556
37,3224337919,-0.542487,-0.532519,-0.443597,-0.474714,0.29241210222244,9.90843486785889,0.39136475324631,0.74292200803757,1.80309545993805,0.21138159930706
38,3224354586,-0.542286,-0.532516,-0.443746,-0.474809,0.27692511677742,9.91503620147705,0.37641659379005,1.04252004623413,1.65500915050507,0.17715661227703
39,3224371253,-0.542097,-0.532509,-0.443889,-0.474898,0.28904083371162,9.87822532653809,0.36589667201042,0.98192679882050,1.43831944465637,0.12949779629707
40,3224387920,-0.541966,-0.532455,-0.444018,-0.474987,0.34077167510986,9.85586738586426,0.42896118760109,0.54255384206772,1.13438653945923,-0.17448012530804
41,3224404587,-0.541882,-0.532423,-0.444101,-0.475041,0.33960911631584,9.88282299041748,0.42553690075874,0.41711559891701,1.09318840503693,-0.19280599057674
42,3224421254,-0.541804,-0.532397,-0.444166,-0.475098,0.32333254814148,9.90792655944824,0.42107820510864,0.34488785266876,0.77678203582764,-0.12680208683014
43,3224437921,-0.541757,-0.532427,-0.444152,-0.475133,0.30610570311546,9.87211704254150,0.36684748530388,0.25035130977631,0.17832840979099,0.14682479202747
44,3224454588,-0.541735,-0.532446,-0.444106,-0.475178,0.32232356071472,9.81308078765869,0.40334254503250,-0.01313291210681,0.12135297060013,0.18690869212151
45,3224471255,-0.541723,-0.532494,-0.444038,-0.475203,0.27582928538322,9.85760784149170,0.38591924309731,0.03767628222704,-0.38552877306938,0.24666310846806
46,3224487922,-0.541652,-0.532431,-0.444027,-0.475363,0.20333194732666,9.85735607147217,0.29328939318657,-0.37528368830681,0.94614589214325,0.40056982636452
47,3224504589,-0.541511,-0.532356,-0.444090,-0.475550,0.27847406268120,9.87537288665771,0.39277580380440,-0.00407882174477,1.86600017547607,0.42728379368782
48,3224521256,-0.541434,-0.532318,-0.444147,-0.475627,0.37384599447250,9.76925086975098,0.35141959786415,0.20673289895058,0.76626789569855,-0.06862282752991
49,3224537923,-0.541424,-0.532320,-0.444133,-0.475649,0.37738284468651,9.85678577423096,0.28396874666214,0.05483678728342,0.12922888994217,-0.10448060184717
50,3224554590,-0.541436,-0.532337,-0.444045,-0.475699,0.31137678027153,10.00509071350098,0.34793278574944,-0.31052196025848,-0.39866805076599,0.23696869611740
51,3224571257,-0.541444,-0.532368,-0.443974,-0.475720,0.30151376128197,9.92405796051025,0.46341538429260,-0.09030397236347,-0.34235852956772,0.12387581914663
52,3224587924,-0.541391,-0.532283,-0.444072,-0.475785,0.31609383225441,9.79592800140381,0.37247595191002,0.09793015569448,0.22316344082355,-0.51220911741257
53,3224604591,-0.541407,-0.532190,-0.444159,-0.475790,0.33154433965683,9.79160594940186,0.33124169707298,-0.01418303325772,0.83134990930557,-0.90425002574921
54,3224621258,-0.541430,-0.532048,-0.444225,-0.475861,0.29797315597534,9.84612846374512,0.34016287326813,-0.49285882711411,0.91201692819595,-0.76843857765198
55,3224637925,-0.541434,-0.531946,-0.444256,-0.475941,0.28699317574501,9.94483470916748,0.39229816198349,-0.41190981864929,0.95496940612793,-0.40745320916176
56,3224654592,-0.541377,-0.531851,-0.444327,-0.476046,0.30369818210602,9.98682689666748,0.41447281837463,-0.11449517309666,1.18355000019073,-0.25060102343559
57,3224671259,-0.541300,-0.531819,-0.444405,-0.476096,0.32786518335342,9.98468875885010,0.44274008274078,0.38312759995461,0.88870948553085,-0.22149223089218
58,3224687926,-0.541225,-0.531866,-0.444441,-0.476095,0.31855067610741,9.93519783020020,0.45030528306961,0.69003164768219,0.30152547359467,-0.02035569213331
59,3224704593,-0.541138,-0.531973,-0.444454,-0.476063,0.28894174098969,9.88415241241455,0.40016782283783,0.97464644908905,-0.20847456157207,0.16184024512768
60,3224721260,-0.541049,-0.532080,-0.444421,-0.476075,0.28183916211128,9.84979534149170,0.36856979131699,0.70568108558655,0.14528803527355,0.51864433288574
61,3224737927,-0.540969,-0.532048,-0.444449,-0.476175,0.28542432188988,9.80991172790527,0.33273404836655,0.07163872569799,0.49563133716583,0.14225292205811
62,3224754594,-0.540999,-0.531930,-0.444475,-0.476249,0.28494879603386,9.75456619262695,0.31582868099213,-0.57423669099808,0.65711295604706,-0.55862581729889
63,3224771261,-0.541015,-0.531767,-0.444533,-0.476358,0.27483341097832,9.78507804870605,0.31374481320381,-0.69010221958160,0.94610744714737,-0.64276987314224
64,3224787928,-0.540953,-0.531645,-0.444590,-0.476512,0.30341199040413,9.88798046112061,0.35439404845238,-0.38563123345375,1.39936268329620,-0.08260736614466
65,3224804595,-0.540922,-0.531572,-0.444584,-0.476634,0.33628702163696,9.89370155334473,0.30233031511307,-0.43546068668365,0.83264321088791,0.08415052294731
66,3224821262,-0.540852,-0.531474,-0.444641,-0.476770,0.30824381113052,9.92315006256104,0.38683766126633,-0.21607513725758,1.36548984050751,-0.05144951120019
67,3224837929,-0.540783,-0.531419,-0.444712,-0.476842,0.30675873160362,9.97692966461182,0.44295930862427,0.18117141723633,0.90716332197189,-0.21414136886597
68,3224854596,-0.540771,-0.531432,-0.444714,-0.476840,0.32166573405266,9.92412948608398,0.42388767004013,0.22454652190208,0.14594116806984,-0.20731559395790
69,3224871263,-0.540814,-0.531465,-0.444653,-0.476812,0.34814375638962,9.90411663055420,0.39652585983276,-0.02497878484428,-0.40235629677773,-0.19651983678341
70,3224887930,-0.540860,-0.531517,-0.444582,-0.476769,0.34984239935875,9.87860393524170,0.45895981788635,0.04317020624876,-0.68971794843674,-0.16504181921482
71,3224904597,-0.540899,-0.531627,-0.444538,-0.476643,0.34044185280800,9.91113853454590,0.47354382276535,0.62782490253448,-1.07523405551910,-0.37842768430710
72,3224921264,-0.540938,-0.531806,-0.444493,-0.476439,0.38407632708549,9.96008491516113,0.51346379518509,1.12087571620941,-1.59837961196899,-0.45182719826698
73,3224937931,-0.541022,-0.532095,-0.444382,-0.476125,0.36446392536163,9.96878719329834,0.50174468755722,1.48256564140320,-2.63984370231628,-0.42909598350525
74,3224954598,-0.541066,-0.532441,-0.444264,-0.475798,0.28386428952217,9.92421150207520,0.43777510523796,1.86324703693390,-2.83570361137390,-0.14908511936665
75,3224971265,-0.541024,-0.532804,-0.444205,-0.475494,0.23879405856133,9.90523529052734,0.38058996200562,2.35927510261536,-2.28163671493530,0.05915252119303
76,3224987932,-0.540917,-0.533138,-0.444202,-0.475245,0.24661633372307,9.81414127349854,0.37231349945068,2.50560116767883,-1.73516464233398,0.17830283939838
77,3225004599,-0.540858,-0.533541,-0.444107,-0.474949,0.30813139677048,9.88136196136475,0.37142312526703,2.43580603599548,-2.19688439369202,0.40267005562782
78,3225021266,-0.540785,-0.533910,-0.443995,-0.474722,0.29496213793755,9.89355373382568,0.30652973055840,2.08386206626892,-2.13696360588074,0.65592849254608
79,3225037933,-0.540644,-0.534213,-0.443936,-0.474596,0.27440667152405,9.88627433776855,0.26002970337868,1.96312355995178,-1.16646003723145,0.85698819160461
80,3225054600,-0.540536,-0.534456,-0.443873,-0.474505,0.30249768495560,9.84531116485596,0.27723827958107,1.50483584403992,-0.57867419719696,0.73156279325485
81,3225071267,-0.540389,-0.534660,-0.443893,-0.474423,0.33501571416855,9.83065128326416,0.33624091744423,1.73470962047577,-0.38000920414925,0.44519993662834
82,3225087934,-0.540251,-0.534884,-0.443927,-0.474296,0.34325474500656,9.83160877227783,0.35130614042282,1.96090829372406,-0.35862261056900,0.26434865593910
83,3225104601,-0.540120,-0.534980,-0.443986,-0.474282,0.30777600407600,9.77683162689209,0.30380916595459,1.19688153266907,0.27834603190422,0.17396144568920
84,3225121268,-0.539952,-0.534967,-0.444114,-0.474369,0.30876880884171,9.82833671569824,0.30372989177704,0.84260666370392,1.47383165359497,0.09106595069170
85,3225137935,-0.539772,-0.534914,-0.444261,-0.474495,0.35100340843201,9.86447525024414,0.31557521224022,0.68099045753479,1.71266996860504,0.07172835618258
86,3225154602,-0.539668,-0.534820,-0.444360,-0.474626,0.40235987305641,9.90425300598145,0.31007918715477,0.07295778393745,1.38755524158478,-0.10638875514269
87,3225171269,-0.539663,-0.534805,-0.444353,-0.474656,0.39470958709717,9.86866950988770,0.33588096499443,-0.03502536565065,0.10291822254658,-0.16954326629639
88,3225187936,-0.539686,-0.534800,-0.444337,-0.474651,0.31797134876251,9.83027553558350,0.24547426402569,-0.02230866253376,-0.10014565289021,-0.32762485742569
89,3225204603,-0.539698,-0.534760,-0.444347,-0.474672,0.31186306476593,9.87343311309814,0.27927649021149,-0.10054904967546,0.26824179291725,-0.39355832338333
90,3225221270,-0.539807,-0.534715,-0.444306,-0.474637,0.34896722435951,9.84454822540283,0.36395910382271,-0.47113919258118,-0.28174608945847,-0.74561768770218
91,3225237937,-0.539963,-0.534598,-0.444248,-0.474646,0.33032783865929,9.95109462738037,0.37882500886917,-1.10655176639557,-0.14357838034630,-0.89418423175812
92,3225254604,-0.540125,-0.534549,-0.444097,-0.474658,0.25457751750946,10.06372356414795,0.48723793029785,-1.18269848823547,-0.68636274337769,-0.34946608543396
93,3225271271,-0.540257,-0.534710,-0.443888,-0.474522,0.30247977375984,9.96488475799561,0.53651452064514,-0.03103618696332,-2.00025582313538,0.05636074021459
94,3225287938,-0.540361,-0.535005,-0.443693,-0.474255,0.36002629995346,9.84277248382568,0.41881376504898,1.02423906326294,-2.73925924301147,0.01368998922408
95,3225304605,-0.540492,-0.535291,-0.443536,-0.473927,0.34675332903862,9.85630130767822,0.28786069154739,1.20336139202118,-2.61804676055908,-0.45824322104454
96,3225321272,-0.540580,-0.535469,-0.443424,-0.473731,0.27105402946472,9.84084320068359,0.28421753644943,0.69023662805557,-1.79987478256226,-0.32652992010117
97,3225337939,-0.540581,-0.535578,-0.443385,-0.473644,0.21340957283974,9.82425785064697,0.29570704698563,0.66309994459152,-0.80519282817841,-0.13057994842529
98,3225354606,-0.540526,-0.535568,-0.443421,-0.473685,0.24044629931450,9.84745502471924,0.24518477916718,0.27546456456184,0.46246287226677,-0.11165215820074
99,3225371273,-0.540451,-0.535409,-0.443503,-0.473872,0.29869812726974,9.90028381347656,0.27605792880058,-0.50136226415634,1.60699224472046,-0.12415117770433
100,3225387940,-0.540349,-0.535147,-0.443629,-0.474167,0.32230672240257,9.89811801910400,0.34985831379890,-0.97271275520325,2.55263829231262,-0.12278088182211
101,3225404607,-0.540227,-0.534901,-0.443760,-0.474461,0.31303781270981,9.89299869537354,0.34458205103874,-0.81589895486832,2.81173658370972,-0.01227488648146
102,3225421274,-0.540073,-0.534691,-0.443900,-0.474742,0.31173112988472,9.87456226348877,0.32061070203781,-0.49531763792038,2.71763586997986,0.11807455122471
103,3225437941,-0.539896,-0.534522,-0.444057,-0.474986,0.32070487737656,9.83493995666504,0.29093331098557,-0.08906176686287,2.54770827293396,0.11318252980709
104,3225454608,-0.539764,-0.534344,-0.444209,-0.475195,0.33161202073097,9.80943012237549,0.25432249903679,-0.18527586758137,2.74078941345215,-0.16538758575916
105,3225471275,-0.539705,-0.534086,-0.444344,-0.475426,0.33444479107857,9.85369682312012,0.31613659858704,-0.87430876493454,2.72653603553772,-0.49504870176315
106,3225487942,-0.539695,-0.533853,-0.444464,-0.475587,0.36053967475891,9.89042854309082,0.34841737151146,-0.80087703466415,2.02798795700073,-0.79257857799530
107,3225504609,-0.539729,-0.533739,-0.444505,-0.475638,0.36609828472137,9.92852592468262,0.32960018515587,-0.45078986883163,0.74741691350937,-0.69066566228867
108,3225521276,-0.539777,-0.533743,-0.444454,-0.475626,0.35349377989769,9.95267772674561,0.35410889983177,-0.16342821717262,-0.22128731012344,-0.26934951543808
109,3225537943,-0.539793,-0.533863,-0.444358,-0.475563,0.33108529448509,9.94462013244629,0.37243425846100,0.38408803939819,-1.14781391620636,0.15021847188473
110,3225554610,-0.539830,-0.534004,-0.444266,-0.475448,0.29163581132889,9.91351509094238,0.33917659521103,0.55566745996475,-1.25919067859650,-0.05343449115753
111,3225571277,-0.539853,-0.534074,-0.444239,-0.475369,0.27398395538330,9.84124660491943,0.34615182876587,0.44837594032288,-0.54731142520905,-0.32571029663086
112,3225587944,-0.539834,-0.534167,-0.444222,-0.475302,0.28024947643280,9.84353542327881,0.30285254120827,0.68959629535675,-0.46540194749832,-0.11710765212774
113,3225604611,-0.539783,-0.534242,-0.444206,-0.475291,0.30500048398972,9.90506649017334,0.30285826325417,0.56725728511810,0.02862219139934,0.14435316622257
114,3225621278,-0.539672,-0.534276,-0.444239,-0.475348,0.31682777404785,9.93803787231445,0.29185056686401,0.59477806091309,0.55758839845657,0.28035658597946
115,3225637945,-0.539538,-0.534233,-0.444344,-0.475450,0.33506664633751,9.91542243957520,0.26506862044334,0.48566803336143,1.37075340747833,0.02611214667559
116,3225654612,-0.539425,-0.534182,-0.444466,-0.475522,0.34233316779137,9.86682033538818,0.30307471752167,0.51856756210327,1.27934157848358,-0.24114997684956
117,3225671279,-0.539345,-0.534134,-0.444552,-0.475586,0.31265065073967,9.88054370880127,0.28141453862190,0.32113200426102,0.94162523746490,-0.24335265159607
118,3225687946,-0.539248,-0.534017,-0.444648,-0.475737,0.27300643920898,9.88237380981445,0.27938345074654,-0.10262368619442,1.76156449317932,-0.10286700725555
119,3225704613,-0.539080,-0.533843,-0.444828,-0.475954,0.26565790176392,9.87133216857910,0.32754901051521,0.01543164998293,2.53902530670166,-0.11261262744665
120,3225721280,-0.538896,-0.533701,-0.445040,-0.476124,0.33370387554169,9.87582111358643,0.32640698552132,0.44311246275902,2.51999497413635,-0.25252196192741
121,3225737947,-0.538760,-0.533618,-0.445205,-0.476218,0.37520176172256,9.87128829956055,0.33745849132538,0.56413257122040,1.64845907688141,-0.34164142608643
122,3225754614,-0.538674,-0.533636,-0.445293,-0.476213,0.36154964566231,9.89171028137207,0.33858427405357,0.80633896589279,0.49853834509850,-0.28014528751373
123,3225771281,-0.538583,-0.533675,-0.445379,-0.476192,0.29958415031433,9.91099166870117,0.31809693574905,0.94170206785202,0.39880251884460,-0.25195851922035
124,3225787948,-0.538487,-0.533716,-0.445457,-0.476180,0.29170557856560,9.88009452819824,0.31825262308121,0.92314565181732,0.71974253654480,-0.15301665663719
125,3225804615,-0.538385,-0.533733,-0.445551,-0.476189,0.33351820707321,9.88090324401855,0.33107179403305,0.84126198291779,0.76405239105225,-0.19910672307014
126,3225821282,-0.538274,-0.533782,-0.445656,-0.476161,0.32404705882072,9.88530445098877,0.34761658310890,1.12925112247467,0.35246917605400,-0.25400754809380
127,3225837949,-0.538207,-0.533889,-0.445719,-0.476058,0.28132534027100,9.82427024841309,0.26796397566795,1.29182767868042,0.02871183492243,-0.33170366287231
