sep=,
DeviceTag:,1
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-09-17_16:36:35_000 GMT+8
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3223704573,-0.712870,0.170370,0.093826,-0.673786,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3223721240,-0.713245,0.170705,0.093831,-0.673303,-0.87276828289032,-3.68832349777222,9.01894569396973,-2.00988650321960,2.37806248664856,-3.62977480888367
2,3223737907,-0.713561,0.171127,0.093950,-0.672845,-0.83549213409424,-3.57456183433533,9.12873935699463,-3.00873041152954,2.18688917160034,-3.37964081764221
3,3223754574,-0.713762,0.171549,0.094061,-0.672509,-0.83505874872208,-3.51209640502930,9.11855792999268,-3.03491258621216,1.98163533210754,-2.19179391860962
4,3223771241,-0.713899,0.171876,0.094002,-0.672288,-0.88196468353271,-3.56659388542175,9.25291538238525,-1.78149783611298,2.21639537811279,-1.24420750141144
5,3223787908,-0.714029,0.172117,0.093884,-0.672104,-0.83329236507416,-3.51483941078186,9.33524608612061,-1.06403470039368,2.09032893180847,-1.05897617340088
6,3223804575,-0.714142,0.172462,0.093967,-0.671884,-0.94789654016495,-3.45963358879089,9.35889339447021,-2.55023717880249,1.59592723846436,-1.30133640766144
7,3223821242,-0.714130,0.173276,0.094759,-0.671576,-0.85060989856720,-3.32842230796814,9.31680488586426,-8.28260612487793,0.47420647740364,-2.12032866477966
8,3223837909,-0.714131,0.174266,0.096070,-0.671133,-0.81015056371689,-3.53718614578247,9.25096893310547,-11.66363811492920,-1.21803176403046,-3.02158951759338
9,3223854576,-0.714285,0.174875,0.097290,-0.670634,-0.80235368013382,-3.60004854202271,9.32256221771240,-9.24187755584717,-2.45326852798462,-3.93030214309692
10,3223871243,-0.714560,0.174857,0.098075,-0.670232,-0.68857598304749,-3.54498124122620,9.43422698974609,-3.92725300788879,-3.16180491447449,-4.10871934890747
11,3223887910,-0.714797,0.174432,0.098461,-0.670033,-0.73316264152527,-3.39829993247986,9.47146415710449,-0.02825720980763,-3.45013928413391,-2.47373223304749
12,3223904577,-0.714577,0.174236,0.098965,-0.670244,-0.66793090105057,-3.22581124305725,9.22990798950195,-1.88699662685394,-3.46966934204102,0.92231333255768
13,3223921244,-0.714126,0.174284,0.099462,-0.670639,-0.82100337743759,-3.50571990013123,9.10079860687256,-3.26026010513306,-2.90056824684143,3.56898903846741
14,3223937911,-0.713690,0.174139,0.099722,-0.671102,-0.92633646726608,-3.75834727287292,8.97631835937500,-1.15626621246338,-2.70213341712952,3.99736142158508
15,3223954578,-0.713363,0.173719,0.099641,-0.671570,-0.87309217453003,-3.80838084220886,8.76918220520020,1.92191302776337,-2.12206983566284,3.48208522796631
16,3223971245,-0.713130,0.173322,0.099354,-0.671963,-0.81731098890305,-3.76196479797363,8.73992633819580,2.82449793815613,-0.84852308034897,2.94476246833801
17,3223987912,-0.712845,0.173440,0.099366,-0.672233,-0.83553779125214,-3.62681722640991,8.85423469543457,-1.23586392402649,0.12836444377899,2.66852927207947
18,3224004579,-0.712420,0.174351,0.099957,-0.672361,-0.76092809438705,-3.67782068252563,8.84193992614746,-8.06572914123535,1.02742815017700,2.48504710197449
19,3224021246,-0.712086,0.175024,0.100146,-0.672511,-0.79375505447388,-4.13735628128052,8.99115467071533,-4.97280120849609,1.69056618213654,3.08106684684753
20,3224037913,-0.711858,0.174867,0.099559,-0.672881,-0.78878790140152,-3.98130440711975,9.18168449401855,2.99260067939758,1.61899161338806,3.63101005554199
21,3224054580,-0.711624,0.174763,0.099155,-0.673214,-0.76320868730545,-3.66096472740173,9.25225830078125,1.87388312816620,1.04997360706329,3.20678091049194
22,3224071247,-0.711325,0.175068,0.099260,-0.673436,-0.85976302623749,-3.78239440917969,9.27740001678467,-2.65465450286865,0.51647382974625,2.67846775054932
23,3224087914,-0.711141,0.175023,0.099203,-0.673650,-0.85493314266205,-3.97415804862976,9.34732627868652,-0.05435015261173,-0.22449532151222,2.08896565437317
24,3224104581,-0.711065,0.174709,0.099073,-0.673831,-0.74044495820999,-3.82369065284729,9.28969383239746,1.71296465396881,-0.98650515079498,1.27108156681061
25,3224121248,-0.711027,0.174461,0.099215,-0.673914,-0.80739682912827,-3.70052337646484,9.22278881072998,0.10615182667971,-1.84460723400116,0.30536741018295
26,3224137915,-0.711005,0.174242,0.099520,-0.673949,-0.75066041946411,-3.79295659065247,9.08514881134033,-0.80927163362503,-2.47879695892334,-0.10412842780352
27,3224154582,-0.711035,0.173948,0.099768,-0.673956,-0.69576638936996,-3.72953534126282,8.93970108032227,-0.13793079555035,-2.48892045021057,-0.42036205530167
28,3224171249,-0.711042,0.173784,0.099950,-0.673965,-0.66131895780563,-3.70662307739258,8.85102176666260,-0.47849649190903,-1.52435255050659,-0.29308611154556
29,3224187916,-0.710937,0.173883,0.100113,-0.674026,-0.72315913438797,-3.63998579978943,8.82775974273682,-1.76253783702850,-0.31548440456390,0.61049789190292
30,3224204583,-0.710765,0.174248,0.100410,-0.674069,-0.75667220354080,-3.67747735977173,8.82343292236328,-3.80601572990417,0.14581312239170,1.06139051914215
31,3224221250,-0.710600,0.174620,0.100690,-0.674105,-0.76535236835480,-3.76762247085571,8.73562812805176,-3.73107886314392,0.34725061058998,0.86686831712723
32,3224237917,-0.710571,0.174770,0.100728,-0.674091,-0.71478515863419,-3.79257249832153,8.72944355010986,-1.40458762645721,0.65140140056610,0.12376698106527
33,3224254584,-0.710662,0.174691,0.100412,-0.674062,-0.67316454648972,-3.72469997406006,8.86283779144287,1.46264517307281,1.28686523437500,0.08058395236731
34,3224271251,-0.710631,0.174817,0.100137,-0.674103,-0.72773391008377,-3.54181456565857,8.96476840972900,0.18765144050121,1.94098162651062,0.89987671375275
35,3224287918,-0.710416,0.175352,0.100077,-0.674200,-0.81452494859695,-3.55515384674072,9.07430458068848,-2.99702525138855,2.56138491630554,2.12765979766846
36,3224304585,-0.710064,0.176067,0.100168,-0.674371,-0.78438675403595,-3.65409326553345,9.09992790222168,-4.65757369995117,2.61836099624634,2.74018788337708
37,3224321252,-0.709743,0.176540,0.100091,-0.674596,-0.73896533250809,-3.86844253540039,9.30889987945557,-2.60046386718750,2.32839941978455,2.73874020576477
38,3224337919,-0.709567,0.176616,0.099827,-0.674801,-0.83560019731522,-3.84758210182190,9.34389877319336,0.31175780296326,1.35514235496521,2.33307385444641
39,3224354586,-0.709401,0.176610,0.099682,-0.674999,-0.90665346384048,-3.77570319175720,9.33949756622314,0.18113300204277,0.42693808674812,2.00980281829834
40,3224371253,-0.709248,0.176642,0.099725,-0.675144,-0.93440216779709,-3.81993389129639,9.35430335998535,-0.91514813899994,-0.29768997430801,1.62504887580872
41,3224387920,-0.709197,0.176379,0.099666,-0.675276,-0.79393994808197,-3.92901945114136,9.33002090454102,1.10923480987549,-1.08713746070862,1.02331697940826
42,3224404587,-0.709186,0.175735,0.099368,-0.675499,-0.83215641975403,-3.84822225570679,9.22844791412354,4.26471328735352,-1.49307978153229,0.63046306371689
43,3224421254,-0.709152,0.175273,0.099272,-0.675669,-0.87727850675583,-3.56772971153259,9.12991237640381,2.36115169525146,-1.63403904438019,0.49119397997856
44,3224437921,-0.709026,0.175420,0.099808,-0.675684,-0.87367075681686,-3.58310985565186,9.07538604736328,-3.82161974906921,-1.98675155639648,0.32746478915215
45,3224454588,-0.708934,0.175655,0.100446,-0.675625,-0.71538817882538,-3.90406298637390,8.87307834625244,-4.71444654464722,-1.88273203372955,-0.42567667365074
46,3224471255,-0.709248,0.174486,0.099551,-0.675730,-0.58085203170776,-4.52174997329712,8.99146652221680,9.85729312896729,-0.85452318191528,-0.62959235906601
47,3224487922,-0.709784,0.172117,0.097498,-0.676075,-0.85740411281586,-3.90909743309021,9.09316635131836,21.50590515136719,-0.95692402124405,0.18747244775295
48,3224504589,-0.710007,0.171169,0.096838,-0.676175,-0.79504036903381,-3.09376287460327,8.83564090728760,7.52778482437134,-1.21424698829651,0.08881845325232
49,3224521256,-0.709825,0.171989,0.097843,-0.676014,-0.78782743215561,-3.45008349418640,8.74740695953369,-9.44939708709717,-0.89909559488297,-0.54383450746536
50,3224537923,-0.709872,0.172671,0.098601,-0.675681,-0.66778349876404,-4.14350557327271,8.77720165252686,-7.47921705245972,-0.03626758977771,-2.09829521179199
51,3224554590,-0.710309,0.172336,0.098172,-0.675370,-0.82600438594818,-3.93919420242310,8.97885227203369,3.41724014282227,1.08268082141876,-2.63386940956116
52,3224571257,-0.710510,0.172460,0.098074,-0.675140,-0.77554488182068,-3.32865619659424,8.87771701812744,-0.50424355268478,1.63031232357025,-1.91615641117096
53,3224587924,-0.710310,0.173742,0.098967,-0.674892,-0.82728427648544,-3.32177209854126,8.91916561126709,-11.24479198455811,1.92913639545441,-0.57510137557983
54,3224604591,-0.710127,0.175018,0.099758,-0.674638,-0.66950911283493,-3.97476673126221,8.96701240539551,-10.76017475128174,2.28570413589478,-0.24503040313721
55,3224621258,-0.710322,0.174767,0.099092,-0.674596,-0.79807263612747,-4.11163330078125,9.28215599060059,4.06185483932495,2.37075066566467,-0.36421906948090
56,3224637925,-0.710584,0.173924,0.097968,-0.674702,-0.84658664464951,-3.52070689201355,9.40803813934326,9.28130912780762,1.81332218647003,-0.01992668770254
57,3224654592,-0.710540,0.173983,0.097843,-0.674751,-0.84063792228699,-3.19913101196289,9.36538887023926,-0.17978194355965,0.88928568363190,0.73714631795883
58,3224671259,-0.710306,0.174765,0.098617,-0.674683,-0.88109159469604,-3.53645110130310,9.22285938262939,-8.21345043182373,-0.18744018673897,0.59486794471741
59,3224687926,-0.710338,0.174978,0.098995,-0.674539,-0.78019797801971,-4.02332639694214,9.01514148712158,-3.30593991279602,-0.54700398445129,-1.08672773838043
60,3224704593,-0.710962,0.173043,0.097251,-0.674634,-0.71983057260513,-4.30605649948120,9.11270904541016,17.87641906738281,-0.13050326704979,-1.35781395435333
61,3224721260,-0.711586,0.170010,0.094264,-0.675171,-0.73023694753647,-3.45874905586243,9.07678222656250,29.35481071472168,0.52025312185287,1.09420979022980
62,3224737927,-0.711683,0.168193,0.092272,-0.675799,-0.90029150247574,-3.03930640220642,8.94716167449951,18.19709777832031,0.71772634983063,3.92558002471924
63,3224754594,-0.711315,0.167945,0.091635,-0.676335,-0.91975706815720,-3.43044328689575,8.72400283813477,3.63972544670105,1.24291396141052,4.93526744842529
64,3224771261,-0.711168,0.167875,0.090916,-0.676604,-0.68060058355331,-3.99502921104431,8.71491336822510,3.23636984825134,2.90800237655640,2.81436252593994
65,3224787928,-0.711505,0.167465,0.089830,-0.676496,-0.70385587215424,-3.88228559494019,8.98842906951904,6.88771200180054,3.71620512008667,-0.69511610269547
66,3224804595,-0.711913,0.167409,0.089249,-0.676158,-0.78717958927155,-3.49273467063904,9.01792335510254,2.78018808364868,3.31900262832642,-2.79356455802917
67,3224821262,-0.712170,0.167912,0.089266,-0.675759,-0.81704878807068,-3.37839651107788,9.08667469024658,-2.95105051994324,2.94069647789001,-2.68608713150024
68,3224837929,-0.712317,0.168540,0.089344,-0.675438,-0.83866870403290,-3.48477458953857,9.33807373046875,-3.92475557327271,3.07675123214722,-1.82117199897766
69,3224854596,-0.712410,0.168893,0.089157,-0.675276,-0.82118558883667,-3.47923183441162,9.64074897766113,-1.29220545291901,2.94111895561218,-0.80614042282104
70,3224871263,-0.712402,0.169150,0.089018,-0.675239,-0.82181239128113,-3.30094099044800,9.69703769683838,-1.10381126403809,2.00643491744995,0.28779712319374
71,3224887930,-0.712279,0.169503,0.089231,-0.675252,-0.90538847446442,-3.30375933647156,9.57155704498291,-3.32097458839417,0.54740744829178,0.83619064092636
72,3224904597,-0.712148,0.169667,0.089616,-0.675298,-0.98722493648529,-3.48147082328796,9.53931808471680,-3.15581083297729,-1.10244095325470,0.43358457088470
73,3224921264,-0.712143,0.169398,0.089814,-0.675344,-0.92500215768814,-3.54154086112976,9.43392276763916,-0.04237621277571,-2.18225336074829,-0.03006930835545
74,3224937931,-0.712199,0.168737,0.089607,-0.675478,-0.80279207229614,-3.48512649536133,9.43739509582520,3.89300894737244,-2.06406354904175,0.29585868120193
75,3224954598,-0.712255,0.167969,0.089281,-0.675654,-0.92418801784515,-3.35284709930420,9.47247982025146,4.97260999679565,-2.10763072967529,0.77759522199631
76,3224971265,-0.712208,0.167629,0.089494,-0.675760,-0.88238596916199,-3.16104984283447,9.23781776428223,0.18918177485466,-2.82520866394043,0.75550407171249
77,3224987932,-0.712060,0.167561,0.090039,-0.675860,-0.78589171171188,-3.37101101875305,8.95788860321045,-2.74108409881592,-2.98298335075378,0.33292031288147
78,3225004599,-0.712091,0.166469,0.089303,-0.676196,-0.66599661111832,-3.95448970794678,9.21567153930664,8.56312751770020,-1.70994257926941,1.67998206615448
79,3225021266,-0.712256,0.163775,0.087049,-0.676972,-0.89384484291077,-3.63506150245667,9.43151664733887,23.87016677856445,-2.18791198730469,4.07947158813477
80,3225037933,-0.712151,0.161849,0.085597,-0.677730,-0.91484206914902,-2.90166449546814,9.12304973602295,16.05910301208496,-2.69639897346497,4.83810377120972
81,3225054600,-0.711826,0.161588,0.085874,-0.678099,-0.92392051219940,-2.92397546768188,8.94782924652100,-0.64831513166428,-3.20407867431641,3.29052782058716
82,3225071267,-0.711464,0.162349,0.087164,-0.678132,-0.88897734880447,-3.39247608184814,8.82287311553955,-10.57973384857178,-2.90045356750488,0.92219841480255
83,3225087934,-0.711286,0.162979,0.088140,-0.678043,-0.79571294784546,-3.67175984382629,8.84766292572021,-8.34085941314697,-1.73533093929291,-0.25408443808556
84,3225104601,-0.711186,0.163031,0.088334,-0.678109,-0.81230837106705,-3.62565708160400,8.87056255340576,-1.67873311042786,-0.71709156036377,0.63166677951813
85,3225121268,-0.710973,0.163431,0.088622,-0.678200,-0.79263645410538,-3.18512487411499,8.65014457702637,-3.94338297843933,0.30114772915840,1.50641727447510
86,3225137935,-0.710642,0.164643,0.089437,-0.678146,-0.78402233123779,-3.22530150413513,8.78553771972656,-10.61575794219971,1.51993489265442,1.45892548561096
87,3225154602,-0.710337,0.165725,0.089926,-0.678137,-0.73525530099869,-3.68614196777344,9.02505683898926,-8.37676906585693,2.57311654090881,1.60024333000183
88,3225171269,-0.710189,0.166060,0.089628,-0.678250,-0.79473549127579,-3.60736227035522,9.18528270721436,-0.81126952171326,2.87772154808044,1.92316162586212
89,3225187936,-0.710011,0.166100,0.089205,-0.678482,-0.86850178241730,-3.34697747230530,9.32092952728271,1.28177475929260,2.02897405624390,2.41192221641541
90,3225204603,-0.709730,0.166449,0.089195,-0.678691,-0.75324386358261,-3.32103037834167,9.27327060699463,-2.31594562530518,1.34607565402985,2.70507287979126
91,3225221270,-0.709514,0.166370,0.088704,-0.679002,-0.71193915605545,-3.80305361747742,9.41036701202393,2.15245914459229,1.60690867900848,3.21110892295837
92,3225237937,-0.709506,0.164848,0.086806,-0.679626,-0.86510151624680,-3.98543381690979,9.69234180450439,16.17920112609863,1.43724536895752,4.66179800033569
93,3225254604,-0.709530,0.162946,0.084934,-0.680295,-1.02484691143036,-3.27005934715271,9.59615039825439,17.96480751037598,-0.49978756904602,4.48738861083984
94,3225271271,-0.709334,0.162634,0.084907,-0.680579,-0.93972390890121,-2.93445372581482,9.23391056060791,1.13167798519135,-1.69737911224365,2.33807444572449
95,3225287938,-0.709170,0.163147,0.085745,-0.680521,-0.95856201648712,-3.69820165634155,9.27931976318359,-7.13142108917236,-1.72498977184296,0.22570551931858
96,3225304605,-0.709247,0.162381,0.085415,-0.680666,-0.94545674324036,-4.13082933425903,9.45593547821045,5.05058765411377,-1.80777013301849,-0.15067952871323
97,3225321272,-0.709505,0.161061,0.084644,-0.680807,-1.04835307598114,-3.35690259933472,9.21999549865723,9.93939590454102,-2.39227175712585,-0.16269834339619
98,3225337939,-0.709476,0.161067,0.085129,-0.680775,-0.91556572914124,-2.94409132003784,8.94047069549561,-2.80308604240417,-2.23011708259583,-0.44725537300110
99,3225354606,-0.709282,0.162096,0.086538,-0.680555,-0.76682132482529,-3.34261608123779,8.81706047058105,-12.42046737670898,-1.84943616390228,-0.97947484254837
100,3225371273,-0.709289,0.162523,0.087154,-0.680368,-0.84371644258499,-3.83468961715698,8.89110279083252,-5.52741909027100,-0.70028322935104,-1.28257513046265
101,3225387940,-0.709506,0.162292,0.086903,-0.680229,-0.90487343072891,-3.45446181297302,8.92398929595947,1.99478113651276,0.46133589744568,-1.30155408382416
102,3225404607,-0.709637,0.162326,0.086671,-0.680113,-0.85272759199142,-3.14552855491638,9.10860157012939,0.51484090089798,1.50803744792938,-0.57358998060226
103,3225421274,-0.709484,0.163308,0.087303,-0.679957,-0.75554358959198,-2.97264099121094,9.10665321350098,-8.47742176055908,1.63878417015076,0.06234772875905
104,3225437941,-0.709235,0.164741,0.088314,-0.679741,-0.72325938940048,-3.40309357643127,9.07039833068848,-12.60769844055176,1.85972654819489,0.16316580772400
105,3225454608,-0.709161,0.165310,0.088531,-0.679651,-0.85888212919235,-3.63267159461975,9.26585769653320,-4.38177633285522,1.76252520084381,0.07070386409760
106,3225471275,-0.709209,0.165130,0.088128,-0.679697,-0.81256735324860,-3.43488335609436,9.40619564056396,2.37582135200500,1.13988041877747,0.58919459581375
107,3225487942,-0.709126,0.165004,0.087957,-0.679836,-0.78749030828476,-3.17898678779602,9.38560390472412,0.95587879419327,0.16803210973740,1.19042706489563
108,3225504609,-0.708910,0.165379,0.088354,-0.679919,-0.85039490461349,-3.24074006080627,9.18256378173828,-4.33094739913940,-0.30305588245392,1.25979900360107
109,3225521276,-0.708791,0.165636,0.088540,-0.679956,-0.82720899581909,-3.60555005073547,9.33475685119629,-2.68798232078552,0.28798919916153,0.73699265718460
110,3225537943,-0.708811,0.165217,0.088124,-0.680092,-0.90306144952774,-3.65356826782227,9.44193935394287,3.64014768600464,0.03701675310731,0.83902728557587
111,3225554610,-0.708784,0.164704,0.087781,-0.680289,-0.93028861284256,-3.27812504768372,9.21907234191895,3.73829579353333,-0.87618488073349,1.25829434394836
112,3225571277,-0.708570,0.165044,0.088301,-0.680361,-0.90298438072205,-3.11943697929382,8.97443103790283,-4.74568748474121,-1.07506752014160,1.10401618480682
113,3225587944,-0.708330,0.165609,0.088953,-0.680389,-0.87786293029785,-3.67586183547974,9.07229709625244,-6.50234746932983,-0.57125288248062,0.83578717708588
114,3225604611,-0.708283,0.165446,0.088824,-0.680495,-0.91976082324982,-3.79382729530334,9.15422248840332,0.95306783914566,-0.18169648945332,0.85170555114746
115,3225621278,-0.708267,0.165117,0.088481,-0.680636,-0.87530893087387,-3.43796491622925,9.15271091461182,2.84518671035767,0.14130526781082,0.82928800582886
116,3225637945,-0.708151,0.165581,0.088899,-0.680589,-0.92166370153427,-3.23104977607727,8.99517345428467,-4.84945106506348,0.13336533308029,0.41253095865250
117,3225654612,-0.707927,0.166579,0.089712,-0.680472,-0.86481529474258,-3.59759211540222,8.99881935119629,-9.45151138305664,0.78787887096405,0.29322066903114
118,3225671279,-0.707853,0.166968,0.089789,-0.680444,-0.87571489810944,-3.89401197433472,9.21334552764893,-2.82395362854004,1.46507823467255,0.59500211477280
119,3225687946,-0.707905,0.166855,0.089412,-0.680467,-0.86260509490967,-3.61962223052979,9.28668975830078,1.89080643653870,1.27492332458496,0.66682660579681
