sep=,
DeviceTag:,5
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2024-09-17_16:36:35_000 GMT+8
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3223704573,0.590802,0.087805,-0.800499,-0.049410,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,3223721240,0.590911,0.087711,-0.800420,-0.049554,9.28304767608643,1.58137500286102,-3.00272488594055,-1.75313818454742,1.27174103260040,0.37570631504059
2,3223737907,0.591088,0.087768,-0.800285,-0.049509,9.24620532989502,1.67379379272461,-3.00858163833618,-0.12186522036791,2.05061030387878,0.29455241560936
3,3223754574,0.591300,0.087866,-0.800127,-0.049368,9.25155162811279,1.78140234947205,-2.99669694900513,0.55175524950027,2.40379667282104,0.44907391071320
4,3223771241,0.591545,0.087881,-0.799954,-0.049202,9.26791667938232,1.85192632675171,-2.96807193756104,0.31353145837784,2.63470792770386,1.02277266979218
5,3223787908,0.591827,0.087733,-0.799771,-0.049056,9.24483203887939,1.85336852073669,-2.95962786674500,-0.47827878594398,2.81356167793274,1.83609127998352
6,3223804575,0.592111,0.087435,-0.799597,-0.048986,9.14086437225342,1.81293320655823,-2.94745278358459,-1.52038288116455,2.68517827987671,2.36334204673767
7,3223821242,0.592279,0.087052,-0.799515,-0.048977,9.14841651916504,1.75686252117157,-2.94869828224182,-2.08092951774597,1.61177515983582,2.59206271171570
8,3223837909,0.592369,0.086661,-0.799492,-0.048959,9.20635890960693,1.62086844444275,-2.98232197761536,-2.00258040428162,0.95027601718903,2.68332123756409
9,3223854576,0.592440,0.086351,-0.799471,-0.048993,9.28169727325439,1.69505679607391,-2.99941587448120,-1.94286394119263,0.83069020509720,2.02465176582336
10,3223871243,0.592543,0.086123,-0.799405,-0.049218,9.35964679718018,1.72270607948303,-2.99080061912537,-2.68663144111633,1.10479736328125,0.76909178495407
11,3223887910,0.592750,0.085853,-0.799261,-0.049544,9.30658817291260,1.75660276412964,-2.97801899909973,-3.51653456687927,1.91549098491669,0.58193981647491
12,3223904577,0.592982,0.085538,-0.799095,-0.049993,9.29274749755859,1.80739259719849,-2.94803857803345,-4.41300439834595,2.05446529388428,0.33636522293091
13,3223921244,0.593286,0.085189,-0.798869,-0.050586,9.27352809906006,1.84773099422455,-2.92483615875244,-5.39763355255127,2.60425472259521,-0.07878466695547
14,3223937911,0.593614,0.084846,-0.798621,-0.051231,9.22714424133301,1.74352908134460,-2.88532233238220,-5.67244577407837,2.79138159751892,-0.33543682098389
15,3223954578,0.593921,0.084586,-0.798386,-0.051758,9.16255569458008,1.65874385833740,-2.86256098747253,-4.66005182266235,2.73049974441528,-0.30947828292847
16,3223971245,0.594163,0.084507,-0.798192,-0.052107,9.26709842681885,1.63190519809723,-2.85534286499023,-2.89351797103882,2.36738848686218,-0.57591438293457
17,3223987912,0.594450,0.084637,-0.797953,-0.052265,9.39722537994385,1.68098092079163,-2.85468506813049,-1.00381290912628,2.99415636062622,-0.96143662929535
18,3224004579,0.594870,0.084963,-0.797604,-0.052294,9.43037986755371,1.73279535770416,-2.79971146583557,0.34010466933250,4.30589914321899,-1.50657749176025
19,3224021246,0.595420,0.085381,-0.797153,-0.052225,9.35098934173584,1.79309105873108,-2.76460623741150,1.15685534477234,5.53195285797119,-1.63962268829346
20,3224037913,0.596018,0.085789,-0.796673,-0.052057,9.25918102264404,1.83532917499542,-2.74485421180725,1.62214839458466,5.96776628494263,-1.17148661613464
21,3224054580,0.596593,0.086089,-0.796222,-0.051884,9.23852825164795,1.90608727931976,-2.73464941978455,1.23248946666718,5.68853569030762,-0.55191522836685
22,3224071247,0.597114,0.086234,-0.795824,-0.051754,9.19239902496338,1.92744076251984,-2.71198487281799,0.40813198685646,5.09298992156982,0.13198864459991
23,3224087914,0.597541,0.086198,-0.795514,-0.051660,9.19960498809814,1.90325903892517,-2.68706035614014,-0.45062986016273,4.13261604309082,0.99490618705750
24,3224104581,0.597862,0.086090,-0.795282,-0.051691,9.18807792663574,1.90528929233551,-2.67305350303650,-1.32894039154053,3.12800836563110,0.88100636005402
25,3224121248,0.598070,0.086015,-0.795120,-0.051902,9.28909111022949,1.84591889381409,-2.67364454269409,-2.09200692176819,2.12884449958801,-0.03556323423982
26,3224137915,0.598240,0.086007,-0.794976,-0.052156,9.33312511444092,1.79757583141327,-2.66868019104004,-2.03121519088745,1.84803938865662,-0.57910317182541
27,3224154582,0.598412,0.086087,-0.794827,-0.052328,9.35335636138916,1.77414023876190,-2.66101646423340,-1.21758937835693,1.95985198020935,-0.72391742467880
28,3224171249,0.598573,0.086249,-0.794686,-0.052364,9.30015087127686,1.76651000976562,-2.62353658676147,-0.12624499201775,1.97740912437439,-0.61921256780624
29,3224187916,0.598729,0.086488,-0.794546,-0.052308,9.31328010559082,1.83170402050018,-2.60495924949646,0.69060164690018,2.02136087417603,-0.65088266134262
30,3224204583,0.598851,0.086787,-0.794424,-0.052273,9.28386592864990,1.87862646579742,-2.64470911026001,0.85211533308029,1.77797603607178,-1.07680916786194
31,3224221250,0.598924,0.087087,-0.794340,-0.052214,9.25144386291504,1.86862945556641,-2.66600060462952,1.03953623771667,1.36590600013733,-0.98074871301651
32,3224237917,0.598876,0.087345,-0.794354,-0.052110,9.18785381317139,1.87257182598114,-2.65097022056580,1.18572068214417,0.31099581718445,-0.53782832622528
33,3224254584,0.598757,0.087519,-0.794434,-0.051968,9.27025890350342,1.92468953132629,-2.68954420089722,1.13003885746002,-0.35547867417336,0.08954839408398
34,3224271251,0.598594,0.087604,-0.794554,-0.051875,9.27680778503418,1.98436415195465,-2.68646669387817,0.57120800018311,-0.82111752033234,0.37100633978844
35,3224287918,0.598403,0.087608,-0.794698,-0.051867,9.19765377044678,1.94689607620239,-2.68102622032166,-0.24944208562374,-1.14944684505463,0.47448161244392
36,3224304585,0.598130,0.087575,-0.794909,-0.051833,9.18090724945068,1.82648050785065,-2.71040153503418,-0.15774860978127,-1.87354338169098,0.79625391960144
37,3224321252,0.597809,0.087527,-0.795162,-0.051734,9.26621532440186,1.83971178531647,-2.75396966934204,0.17578636109829,-2.27454853057861,1.15058016777039
38,3224337919,0.597518,0.087483,-0.795391,-0.051658,9.32504272460938,1.88882243633270,-2.78564929962158,0.04134529829025,-2.02479910850525,1.03359413146973
39,3224354586,0.597244,0.087483,-0.795594,-0.051687,9.33230590820312,1.84340810775757,-2.79745578765869,-0.34997186064720,-1.86500132083893,0.34223043918610
